#,Práctica,Aplicable a,Importancia,Dificultad de Deducción,Comentarios,Importancia Valor,Dificultad Valor,Aplicable Valor,Promedio Importancia,Promedio Dificultad,Promedio Aplicable,Extremadamente importante,Importante,Muy importante,Nada importante,Poco importante,importante,Difícil de deducir,Fácil de deducir,Moderadamente deducible,Ambos,Avanzados,Iniciales
102,"Durante la competencia, guardar todas las versiones del código que se escriban.",Avanzados,Muy importante,Moderadamente deducible,,3.0,2.0,2.0,1.6666666666666667,2.0,1.5555555555555556,0,3,2,1,3,0,2,2,5,4,3,2
103,"Si un envío es rechazado por el juez, no entrar en pánico, enfocarse en encontrar el error.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,3.4444444444444446,1.6666666666666667,1.4444444444444444,5,1,3,0,0,0,2,5,2,8,0,1
104,Evitar buscar errores en el código leyendo detalladamente línea por línea mientras se ocupa la computadora.,Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,3.0,2.0,1.6111111111111112,4,1,3,1,0,0,4,4,1,7,2,0
105,"Para detectar errores en el código durante la depuración, escribir rutinas de impresión del estado de las variables en varios bloques de código, hacer correr contra varios casos de prueba, imprimir físicamente los resultados y analizarlos dejando la computadora libre.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.7777777777777777,1.7777777777777777,1.6111111111111112,2,2,4,0,1,0,2,4,3,7,2,0
106,"No borrar las rutinas de impresión que se escribieron para depuración de código, mejor es comentarlas.",Ambos,Importante,Moderadamente deducible,,2.0,2.0,1.5,2.4444444444444446,1.7777777777777777,1.5,1,4,3,0,1,0,0,2,7,7,1,1
107,"Para validar o encontrar errores en el código, hacer pruebas de estrés, generar casos de prueba aleatorios y probar el código contra una solución menos eficiente, de la cual se tenga certeza de su correctitud.",Ambos,Importante,Fácil de deducir,,2.0,1.0,1.5,2.2222222222222223,2.3333333333333335,1.6111111111111112,2,4,1,1,1,0,5,2,2,5,3,1
108,"Después de 5 envíos incorrectos, pasarse a otro problema.",Ambos,Muy importante,Fácil de deducir,,3.0,1.0,1.5,2.4444444444444446,2.4444444444444446,1.5,0,3,5,0,1,0,5,1,3,7,1,1
109,No decepcionarse por tener un desempeño no deseado en alguna competencia.,Ambos,Poco importante,Moderadamente deducible,,1.0,2.0,1.5,3.0,2.6666666666666665,1.3888888888888888,4,2,2,0,1,0,6,0,3,7,0,2
110,"Después de una simulación o competencia oficial, discutir con el equipo qué se hizo bien, qué se hizo mal y qué se puede mejorar, también evaluar el desempeño de las estrategias aplicadas.",Ambos,Importante,Moderadamente deducible,,2.0,2.0,1.5,3.0,2.111111111111111,1.5555555555555556,4,2,2,0,1,0,2,1,6,8,1,0
111,"Después de simular o participar en una competencia resolver un problema que se podía haber resuelto en la competencia, pero por motivos de tiempo o toma de decisiones no se logró.",Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,3.3333333333333335,1.6666666666666667,1.5,5,2,2,0,0,0,1,4,4,9,0,0
112,"Después de simular o participar en una competencia resolver un problema que tomaría una cantidad exagerada de tiempo en resolver, o que no se cuente con la suficiente capacidad o el conocimiento para resolverlo. Hacerlo con ayuda de la editorial y con la lectura de códigos aceptados de ese problema o con la ayuda de otra persona que sí lo resolvió.",Ambos,Extremadamente importante,Fácil de deducir,,4.0,1.0,1.5,3.6666666666666665,2.0,1.5555555555555556,6,0,3,0,0,0,2,2,5,8,1,0
